Project ID,Well ID,Company ID,Project End Date,Licence(s),Released?,Release Date,Release Round,Summary Tags,File Count,Project Size,Last Update,Data Reporting Group,CHECKED,Project Type,Survey / Well ID,NSTA Area,DUPL,ABY,RBY,UBY
BP__1982well0016, 1/04- 1,BP__,25/11/1982,P367,TRUE,07/07/1988,28,CORE_CCA DRILL_GEN DWL_WIRE ENG_COMPS GEOL_BIO GEOL_CHEM GEOL_GEOW GEOL_SED JWL_AUDIT JWL_FILE LOG_BIO LOG_COMP LOG_CORE LOG_CPI LOG_DIP LOG_LITH LOG_MUD LOG_SEIS LOG_SUM LOG_VEL LOG_WIRE WELL_SUMMARY,53,322490063,20/10/2022,BP EXPLORATION,TRUE,well,01/04/2001,NNS,,,,
BP__1983well0016, 1/04- 2,BP__,18/05/1983,P367,TRUE,03/01/1989,30,DWL_WIRE GEOL_BIO GEOL_DIP GPHYS_GEN JWL_AUDIT JWL_FILE LOG_BIO LOG_CASE LOG_COMP LOG_CORE LOG_DIP LOG_LITH LOG_MUD LOG_MWD LOG_SEIS LOG_SUM LOG_TEST LOG_VEL LOG_WIRE PRE_SITE TEST_FLUID WELL_SUMMARY,41,24858382,26/11/2022,BP EXPLORATION,TRUE,well,01/04/2002,NNS,,,,
TT__1972well0006, 10/01- 1,TT__,08/02/1972,P118,TRUE,22/01/1979,4,CONC_GEN GEOL_BIO GEOL_GEOW LOG_COMP TEST_DST TEST_GEN,6,6217326,26/11/2022,TOTALENERGIES UPSTREAM UK LIMITED,TRUE,well,10/01/2001,NNS,,,,
TT__1972well0005, 10/01- 1A,TT__,07/05/1972,P118,TRUE,22/01/1979,4,DUPL DWL_WIRE GEOL_DIP GEOL_GEOW GPHYS_GEN LOG_COMP LOG_CPI LOG_MUD LOG_SEIS LOG_VEL LOG_WIRE TEST_GEN WELL_SUMMARY,36,48098846,26/11/2022,TOTALENERGIES UPSTREAM UK LIMITED,TRUE,well,10/01- 1A,NNS,TT__1972well0006,,,
TT__1972well0004, 10/01- 2,TT__,23/06/1972,P118,TRUE,01/12/1980,5,CCA_FILE CORE_CCA DWL_WIRE GEOL_GEN GEOL_GEOW LOG_COMP LOG_DIP LOG_LITH LOG_VEL LOG_WIRE WELL_SUMMARY,25,47707614,26/11/2022,TOTALENERGIES UPSTREAM UK LIMITED,TRUE,well,10/01/2002,NNS,,,,
TT__1975well0014, 10/01- 3,TT__,18/11/1975,P118,TRUE,15/09/1982,8,CORE_CCA CORE_GEN DRILL_EOWR GEOL_BIO GEOL_CHEM GEOL_DIP GEOL_GEN GEOL_GEOW GEOL_PPHYS GEOL_SED GPHYS_GEN LOG_CASE LOG_COMP LOG_CPI LOG_DIP LOG_SEIS LOG_TEST LOG_WIRE PRE_MOVE TEST_FLUID TEST_GEN,37,65762632,26/11/2022,TOTALENERGIES UPSTREAM UK LIMITED,TRUE,well,10/01/2003,NNS,,,,
TT__1976well0007, 10/01- 4,TT__,09/01/1976,P118,TRUE,01/11/1982,9,CORE_GEN DRILL_DEV GEOL_DIP GEOL_GEOW GPHYS_GEN LOG_CASE LOG_COMP LOG_CPI LOG_DIP LOG_MUD LOG_VEL LOG_WIRE PRE_GPROG PRE_MOVE WDD_FILE,35,38305824,26/11/2022,TOTALENERGIES UPSTREAM UK LIMITED,TRUE,well,10/01/2004,NNS,,,,
TT__1985well0017, 10/01- 5,TT__,08/03/1985,P118,TRUE,01/07/1991,37,CCA_FILE CORE_CCA CORE_SCAL DRILL_DEV DRILL_GEN DWL_WIRE GEOL_GEN GEOL_GEOW GPHYS_GEN GPHYS_VSP LOG_CASE LOG_COMP LOG_CORE LOG_DIP LOG_LITH LOG_TEST LOG_VEL LOG_WIRE PRE_DPROG PRE_GPROG PRE_SITE SCAL_FILE,144,107024444,26/11/2022,TOTALENERGIES UPSTREAM UK LIMITED,TRUE,well,10/01/2005,NNS,,,,
TT__1977well0018, 10/01-A1,TT__,08/03/1977,P118,TRUE,29/08/1984,13,DRILL_DEV DRILL_GEN DWL_WIRE ENG_COMPS GEOL_BIO GEOL_GEN LOG_CASE LOG_COMP LOG_CPI LOG_MUD LOG_TEST LOG_WIRE PRE_DPROG WDD_FILE WELL_SUMMARY,31,15434060,26/11/2022,TOTALENERGIES UPSTREAM UK LIMITED,TRUE,well,10/01-A1,NNS,,,,
TT__1977well0017, 10/01-A10,TT__,26/10/1977,P118,TRUE,29/08/1984,13,DRILL_DEV DRILL_EOWR DWL_WIRE ENG_COMPS LOG_CASE LOG_COMP LOG_CPI LOG_MUD LOG_TEST LOG_WIRE PRE_DPROG TEST_DST TEST_GEN WDD_FILE WELL_SUMMARY,35,31188817,26/11/2022,TOTALENERGIES UPSTREAM UK LIMITED,TRUE,well,10/01-A10,NNS,,,,
